Time,Ticker,Order,T,Shares,Price,MPID,X
14445336,IBM,160553,B,4,1715400,,Q
15000080,IBM,160553,D,0,0,,Q
15000082,IBM,195642,B,15,1715400,,Q
25531504,IBM,1088415,B,100,100,,Q
25539276,IBM,1088415,D,0,0,,Q
25539276,IBM,1089956,B,125,100,,Q
25545790,IBM,1090783,S,1000,1825000,,Q
25547778,IBM,1089956,D,0,0,,Q
25576574,IBM,1090783,D,0,0,,Q
25863705,IBM,1140308,S,5,1927300,,Q
25882800,IBM,1145339,S,1550,1821000,,Q
25883929,IBM,1145339,D,0,0,,Q
26875439,IBM,1334942,S,300,1825000,,Q
27573696,IBM,0,T,5,1819000,,Q
27748889,IBM,1495160,S,100,1820000,,Q
27760804,IBM,1496919,S,100,1819000,,Q
28320593,IBM,1646992,B,250,1805200,,Q
28328306,IBM,1647796,B,250,1799400,,Q
28328783,IBM,1647847,B,250,1793600,,Q
28329203,IBM,1647894,B,250,1787800,,Q
28501955,IBM,1672059,S,100,1816700,,Q
28573969,IBM,1696912,S,75,1816400,,Q
28578979,IBM,1696912,D,0,0,,Q
28578980,IBM,1698028,S,75,1816400,,Q
28742259,IBM,1750431,B,100,1810000,,Q
28780668,IBM,1698028,D,0,0,,Q
28780668,IBM,1761036,S,75,1818500,,Q
28800001,IBM,1766658,B,100,1600000,,Q
28804726,IBM,0,T,128,1816000,,Q
28812588,IBM,0,T,72,1816000,,Q
28820216,IBM,1761036,D,0,0,,Q
28820233,IBM,1783874,S,75,1818500,,Q
28823937,IBM,1783874,D,0,0,,Q
28880188,IBM,1672059,F,0,0,,Q
28880188,IBM,0,T,100,1816700,,Q
28880188,IBM,1804002,S,100,1816700,,Q
28895721,IBM,1806610,B,100,1812500,,Q
29022562,IBM,0,T,200,1814200,,Q
29093401,IBM,1851770,S,100,1813000,,Q
29099639,IBM,1851770,F,0,0,,Q
29100445,IBM,1806610,F,0,0,,Q
29107493,IBM,1861449,S,200,1819000,,Q
29115572,IBM,1863082,S,100,1812500,,Q
29154197,IBM,1863082,D,0,0,,Q
29229034,IBM,1888030,B,100,1814000,,Q
29230882,IBM,1888030,D,0,0,,Q
29232154,IBM,1888688,B,500,1814000,,Q
29243018,IBM,1891083,S,300,1816000,,Q
29297758,IBM,1891083,F,0,0,,Q
29297759,IBM,1804002,F,0,0,,Q
29297759,IBM,0,T,100,1816700,,Q
29300022,IBM,1888688,D,0,0,,Q
29302862,IBM,1914388,S,100,1817400,,Q
29307872,IBM,1914388,D,0,0,,Q
29307886,IBM,1916220,S,100,1817400,,Q
29318734,IBM,1916220,D,0,0,,Q
29318738,IBM,1919344,S,100,1817500,,Q
29357101,IBM,1919344,D,0,0,,Q
29409459,IBM,1945297,S,100,1817500,,Q
29409464,IBM,1945297,E,3,0,,Q
29409464,IBM,1945299,S,100,1817500,,Q
29411573,IBM,1945297,D,0,0,,Q
29411573,IBM,1945299,D,0,0,,Q
29418173,IBM,1951907,S,30,1819900,,Q
29454858,IBM,0,T,50,1818500,,Q
